,EGY_NE,EGY_AL,EGY_ME,EGY_UE,EGY_CN,EGY_CR
2019-01-01 00:00,-4945929.64788,-1265690.7113,-2200354.74886,-1674606.74692,-3212907.1893,-6153204.83752
2019-01-01 01:00,-4637501.64788,-1186762.3163,-2063140.74886,-1570177.74692,-3012550.4953,-5769490.83752
2019-01-01 02:00,-4382009.64788,-1121380.4893,-1949476.74886,-1483672.74692,-2846581.2413,-5451634.83752
2019-01-01 03:00,-4197067.64788,-1074052.8263,-1867199.74886,-1421054.74692,-2726441.7893,-5221549.83752
2019-01-01 04:00,-4136736.64788,-1058613.7383,-1840359.74886,-1400627.74692,-2687250.2583,-5146491.83752
2019-01-01 05:00,-4065421.64788,-1040363.6693,-1808632.74886,-1376481.74692,-2640923.163,-5057767.83752
2019-01-01 06:00,-4007572.64788,-1025559.8363,-1782896.74886,-1356894.74692,-2603344.1993,-4985798.83752
2019-01-01 07:00,-4092230.64788,-1047224.453,-1820559.74886,-1385558.74692,-2658338.9893,-5091121.83752
2019-01-01 08:00,-3848492.64788,-984850.33343,-1712124.74886,-1303032.74692,-2500004.6923,-4787887.83752
2019-01-01 09:00,-3974121.64788,-1016999.6343,-1768014.74886,-1345568.74692,-2581614.4563,-4944182.83752
2019-01-01 10:00,-4090955.64788,-1046897.9413,-1819991.74886,-1385126.74692,-2657510.1583,-5089534.83752
2019-01-01 11:00,-4217475.64788,-1079275.1333,-1876278.74886,-1427964.74692,-2739698.4143,-5246937.83752
2019-01-01 12:00,-4275455.64788,-1094112.5983,-1902072.74886,-1447595.74692,-2777362.7483,-5319070.83752
2019-01-01 13:00,-4331183.64788,-1108373.673,-1926864.74886,-1466463.74692,-2813563.9313,-5388401.83752
2019-01-01 14:00,-4354697.64788,-1114391.1963,-1937326.74886,-1474425.74692,-2828839.193,-5417655.83752
2019-01-01 15:00,-4426533.64788,-1132774.363,-1969284.74886,-1498747.74692,-2875504.1453,-5507026.83752
2019-01-01 16:00,-4413813.64788,-1129519.2733,-1963625.74886,-1494440.74692,-2867241.2323,-5491201.83752
2019-01-01 17:00,-4610614.64788,-1179881.7153,-2051178.74886,-1561074.74692,-2995084.3533,-5736040.83752
2019-01-01 18:00,-5077640.64788,-1299396.2793,-2258950.74886,-1719201.74692,-3298467.4773,-6317064.83752
2019-01-01 19:00,-5132268.64788,-1313375.9163,-2283253.74886,-1737697.74692,-3333954.2483,-6385027.83752
2019-01-01 20:00,-5118618.64788,-1309882.6693,-2277180.74886,-1733075.74692,-3325086.7753,-6368044.83752
2019-01-01 21:00,-4982860.64788,-1275141.5743,-2216784.74886,-1687110.74692,-3236897.8423,-6199149.83752
2019-01-01 22:00,-4804146.64788,-1229407.5833,-2137277.74886,-1626600.74692,-3120803.8653,-5976812.83752
2019-01-01 23:00,-4598000.64788,-1176653.6793,-2045567.74886,-1556803.74692,-2986890.1083,-5720347.83752
2019-01-02 00:00,-4310915.64788,-1103186.9173,-1917848.74886,-1459601.74692,-2800397.5583,-5363185.83752
2019-01-02 01:00,-4093809.64788,-1047628.5253,-1821261.74886,-1386093.74692,-2659364.7183,-5093086.83752
2019-01-02 02:00,-3939674.64788,-1008184.4663,-1752689.74886,-1333905.74692,-2559237.493,-4901327.83752
2019-01-02 03:00,-3850814.64788,-985444.76163,-1713157.74886,-1303819.74692,-2501513.6263,-4790777.83752
2019-01-02 04:00,-3849074.64788,-984999.31923,-1712383.74886,-1303229.74692,-2500382.8873,-4788612.83752
2019-01-02 05:00,-3823050.64788,-978339.72213,-1700805.74886,-1294418.74692,-2483477.7563,-4756236.83752
2019-01-02 06:00,-3816555.64788,-976677.51353,-1697916.74886,-1292219.74692,-2479258.3043,-4748155.83752
2019-01-02 07:00,-4119546.64788,-1054214.733,-1832711.74886,-1394807.74692,-2676083.5463,-5125105.83752
2019-01-02 08:00,-3853913.64788,-986237.79873,-1714536.74886,-1304868.74692,-2503526.723,-4794632.83752
2019-01-02 09:00,-4039674.64788,-1033775.0723,-1797178.74886,-1367763.74692,-2624198.263,-5025737.83752
2019-01-02 10:00,-4275808.64788,-1094202.9253,-1902229.74886,-1447714.74692,-2777592.043,-5319509.83752
2019-01-02 11:00,-4606876.64788,-1178925.0763,-2049515.74886,-1559808.74692,-2992655.9623,-5731389.83752
2019-01-02 12:00,-4622246.64788,-1182858.2823,-2056353.74886,-1565012.74692,-3002640.2553,-5750511.83752
2019-01-02 13:00,-4553231.64788,-1165197.1313,-2025650.74886,-1541645.74692,-2957808.1023,-5664650.83752
