 ,KEN_MTKR1,KEN_NBOR1,KEN_NBOR2,KEN_NBOR3,KEN_MTKR_new
01/01/2019 00:00,0.306,0.21,0.2,0.476,0.289
01/01/2019 01:00,0.295,0.2,0.192,0.457,0.311
01/01/2019 02:00,0.266,0.217,0.207,0.486,0.289
01/01/2019 03:00,0.215,0.185,0.175,0.425,0.235
01/01/2019 04:00,0.234,0.168,0.162,0.379,0.165
01/01/2019 05:00,0.642,0.28,0.275,0.575,0.201
01/01/2019 06:00,0.684,0.287,0.282,0.585,0.174
01/01/2019 07:00,0.647,0.268,0.262,0.553,0.151
01/01/2019 08:00,0.615,0.248,0.243,0.52,0.146
01/01/2019 09:00,0.566,0.219,0.215,0.47,0.139
01/01/2019 10:00,0.503,0.188,0.185,0.417,0.122
01/01/2019 11:00,0.459,0.169,0.164,0.379,0.115
01/01/2019 12:00,0.437,0.17,0.165,0.386,0.122
01/01/2019 13:00,0.431,0.197,0.192,0.442,0.136
01/01/2019 14:00,0.43,0.236,0.23,0.523,0.154
01/01/2019 15:00,0.395,0.279,0.268,0.617,0.206
01/01/2019 16:00,0.393,0.36,0.348,0.724,0.268
01/01/2019 17:00,0.39,0.386,0.374,0.749,0.284
01/01/2019 18:00,0.369,0.38,0.368,0.743,0.263
01/01/2019 19:00,0.335,0.314,0.302,0.663,0.206
01/01/2019 20:00,0.322,0.249,0.237,0.567,0.132
01/01/2019 21:00,0.31,0.23,0.218,0.532,0.083
01/01/2019 22:00,0.289,0.223,0.211,0.52,0.054
01/01/2019 23:00,0.277,0.225,0.213,0.517,0.037
02/01/2019 00:00,0.28,0.235,0.223,0.527,0.025
02/01/2019 01:00,0.277,0.24,0.229,0.527,0.019
02/01/2019 02:00,0.264,0.228,0.218,0.504,0.037
02/01/2019 03:00,0.236,0.191,0.181,0.434,0.073
02/01/2019 04:00,0.196,0.189,0.183,0.422,0.079
02/01/2019 05:00,0.521,0.29,0.285,0.595,0.112
02/01/2019 06:00,0.605,0.245,0.24,0.528,0.09
02/01/2019 07:00,0.568,0.179,0.174,0.407,0.089
02/01/2019 08:00,0.535,0.143,0.14,0.331,0.101
02/01/2019 09:00,0.487,0.135,0.131,0.311,0.103
02/01/2019 10:00,0.413,0.14,0.135,0.322,0.097
02/01/2019 11:00,0.344,0.152,0.148,0.352,0.095
02/01/2019 12:00,0.298,0.18,0.176,0.41,0.105
02/01/2019 13:00,0.28,0.225,0.22,0.5,0.12
02/01/2019 14:00,0.275,0.281,0.275,0.595,0.138
02/01/2019 15:00,0.262,0.344,0.333,0.702,0.205
02/01/2019 16:00,0.323,0.44,0.427,0.803,0.274
02/01/2019 17:00,0.377,0.445,0.435,0.809,0.282
02/01/2019 18:00,0.41,0.418,0.407,0.786,0.251
02/01/2019 19:00,0.426,0.38,0.368,0.751,0.197
02/01/2019 20:00,0.409,0.325,0.314,0.69,0.136
02/01/2019 21:00,0.373,0.283,0.27,0.628,0.084
02/01/2019 22:00,0.332,0.273,0.26,0.61,0.058
02/01/2019 23:00,0.287,0.28,0.268,0.62,0.058
03/01/2019 00:00,0.249,0.298,0.285,0.643,0.076
03/01/2019 01:00,0.221,0.314,0.3,0.661,0.11
03/01/2019 02:00,0.204,0.318,0.305,0.666,0.171
03/01/2019 03:00,0.211,0.296,0.283,0.632,0.169
03/01/2019 04:00,0.277,0.219,0.212,0.48,0.207
03/01/2019 05:00,0.656,0.412,0.407,0.751,0.228
03/01/2019 06:00,0.68,0.388,0.383,0.721,0.18
03/01/2019 07:00,0.631,0.329,0.324,0.648,0.169
03/01/2019 08:00,0.58,0.29,0.285,0.592,0.193
03/01/2019 09:00,0.544,0.294,0.29,0.596,0.234
03/01/2019 10:00,0.539,0.323,0.319,0.636,0.284
03/01/2019 11:00,0.555,0.354,0.352,0.679,0.32
03/01/2019 12:00,0.576,0.385,0.382,0.718,0.317
03/01/2019 13:00,0.578,0.409,0.405,0.745,0.301
03/01/2019 14:00,0.542,0.434,0.43,0.774,0.283
03/01/2019 15:00,0.452,0.398,0.39,0.749,0.252
03/01/2019 16:00,0.42,0.349,0.338,0.695,0.224
03/01/2019 17:00,0.42,0.298,0.288,0.63,0.147
03/01/2019 18:00,0.403,0.228,0.22,0.523,0.045
03/01/2019 19:00,0.379,0.176,0.167,0.427,0.001
03/01/2019 20:00,0.36,0.143,0.136,0.358,0
03/01/2019 21:00,0.348,0.132,0.124,0.332,0
03/01/2019 22:00,0.335,0.13,0.123,0.332,0
03/01/2019 23:00,0.322,0.143,0.135,0.365,0.001
04/01/2019 00:00,0.324,0.145,0.137,0.368,0.024
04/01/2019 01:00,0.364,0.142,0.133,0.364,0.064
04/01/2019 02:00,0.464,0.161,0.152,0.399,0.079
04/01/2019 03:00,0.553,0.162,0.153,0.392,0.08
04/01/2019 04:00,0.673,0.115,0.11,0.285,0.145
04/01/2019 05:00,0.791,0.231,0.224,0.52,0.349
04/01/2019 06:00,0.794,0.53,0.527,0.846,0.413
04/01/2019 07:00,0.824,0.763,0.767,0.955,0.444
04/01/2019 08:00,0.835,0.824,0.83,0.973,0.494
04/01/2019 09:00,0.828,0.8,0.805,0.967,0.59
04/01/2019 10:00,0.818,0.739,0.742,0.947,0.639
04/01/2019 11:00,0.806,0.695,0.698,0.931,0.59
04/01/2019 12:00,0.796,0.678,0.68,0.926,0.532
04/01/2019 13:00,0.79,0.648,0.649,0.913,0.435
04/01/2019 14:00,0.771,0.599,0.598,0.89,0.281
04/01/2019 15:00,0.697,0.464,0.458,0.802,0.143
04/01/2019 16:00,0.638,0.372,0.363,0.713,0.087
