,AGO,BWA,DRC,SWZ,LSO,MWI,MOZ_S,MOZ_NC,NAM,ZAF,TZA,ZMB,ZWE
2025/01/01 00:00:00,-2469207.951,-280060.5767,-1892892.373,-56533.57129,-57227.18949,-315381.315,-393152.4683,-1373747.986,-224091.3671,-37674493.08,-1405477.069,-2084483.526,-1296434.406
2025/01/01 01:00:00,-2426514.511,-272134.3424,-1822869.517,-55438.47111,-56280.37153,-311189.1243,-386487.9569,-1341904.7,-217783.6851,-36744291.23,-1382687.686,-2025488.773,-1259742.906
2025/01/01 02:00:00,-2390080.284,-274776.428,-1757483.025,-54503.03912,-55512.21298,-307824.53,-383155.6942,-1325745.368,-211963.0533,-36799717.08,-1363940.894,-2045153.745,-1271973.441
2025/01/01 03:00:00,-2380862.66,-276537.8108,-1710242.669,-54273.2056,-55468.57011,-308020.5919,-382600.3192,-1301506.48,-208057.6953,-20545505.9,-1360691.056,-2058263.674,-1280127.096
2025/01/01 04:00:00,-2438783.986,-277418.5135,-1759663.314,-55702.79518,-58347.06156,-317046.8461,-383155.6942,-1285347.149,-219059.24,-33951515.75,-1403451.856,-2064818.719,-1284203.976
2025/01/01 05:00:00,-2506891.801,-290628.9189,-1814995.532,-57441.67552,-60944.56127,-326791.7386,-386487.9569,-1188866.684,-229765.2293,-33954849.05,-1446647.792,-2163143.419,-1345356.546
2025/01/01 06:00:00,-2399963.18,-317049.7298,-1748766.287,-54781.06246,-59144.8644,-314583.8452,-390375.5876,-1224987.473,-230281.9051,-20760013.8,-1398979.285,-2359792.822,-1467661.686
2025/01/01 07:00:00,-2508543.241,-327618.0495,-1826884.699,-56585.80838,-61609.76987,-325627.7068,-408147.6227,-1365668.357,-244079.5171,-20154189.6,-1446399.244,-2438452.55,-1516583.721
2025/01/01 08:00:00,-2629280.251,-322333.8784,-1906689.456,-59752.43391,-64156.81419,-339148.1142,-414256.7664,-1410344.005,-255242.3165,-38158944.98,-1511813.667,-2399122.602,-1492122.652
2025/01/01 09:00:00,-2702421.946,-307362.0902,-1963607.345,-60656.33231,-65905.55586,-342252.9436,-419255.1464,-1333824.998,-265389.5986,-40191734.2,-1543265.302,-2287687.975,-1422816.427
2025/01/01 10:00:00,-2710544.539,-303839.3243,-1959375.386,-60667.56648,-66439.44822,-344825.0487,-419255.1464,-1434107.663,-268811.3936,-40935160.55,-1547002.185,-2261468.121,-1406509.116
2025/01/01 11:00:00,-2708435.076,-319691.7929,-2004714.566,-60928.24839,-67490.94109,-348159.5275,-416478.2654,-1406066.575,-278568.3793,-41480070.03,-1559692.091,-2379457.629,-1479892.117
2025/01/01 12:00:00,-2708700.276,-330260.1351,-2008140.16,-60412.11401,-67292.90201,-346738.6608,-416478.2654,-1337627.198,-286571.7251,-41344915.58,-1558596.309,-2458117.523,-1528814.256
2025/01/01 13:00:00,-2730131.575,-314407.6442,-2026399.795,-61021.68331,-69066.62531,-350267.0642,-416478.2654,-1337627.198,-287752.1752,-19621470.45,-1576419.457,-2340127.849,-1455431.151
2025/01/01 14:00:00,-2756454.579,-299435.8559,-2052947.266,-61816.53491,-70285.22381,-353913.1253,-419255.1464,-1353786.528,-293098.5668,-38905495.53,-1594673.946,-2228693.221,-1386124.926
2025/01/01 15:00:00,-2775880.521,-294151.6847,-2062151.162,-62424.28141,-71153.10111,-356248.4483,-413146.0097,-1341904.7,-294403.2004,-40091632.7,-1610964.531,-2189363.275,-1361663.856
2025/01/01 16:00:00,-2728012.567,-301197.2388,-2021845.31,-61668.81985,-69024.05523,-349788.5867,-410369.1287,-1301506.48,-284916.0442,-40592607.6,-1580215.102,-2241803.149,-1394278.581
2025/01/01 17:00:00,-2728629.947,-311765.5586,-2015952.763,-62249.54544,-68509.24149,-349581.5829,-410924.5034,-1285347.149,-278271.2296,-41090430.63,-1573732.191,-2320462.876,-1443200.617
2025/01/01 18:00:00,-3015916.666,-340828.4549,-2204176.833,-69269.53549,-75479.30145,-387331.5871,-418144.3968,-1643703.156,-292622.6126,-40909761.05,-1732049.83,-2536777.252,-1577736.292
2025/01/01 19:00:00,-3038705.147,-376936.8942,-2216823.368,-70144.03117,-75562.29219,-390422.2219,-432584.1765,-1824782.185,-289937.5174,-44119396.85,-1746506.818,-2805531.417,-1744886.641
2025/01/01 20:00:00,-2999477.977,-356680.9347,-2187465.094,-69392.23201,-73962.27853,-385325.2271,-434805.6828,-1784383.967,-282697.7255,-43587848.25,-1724462.509,-2654766.842,-1651119.344
2025/01/01 21:00:00,-2910330.629,-321453.1982,-2124153.638,-67354.02379,-71013.43648,-373615.6436,-433139.5551,-1659862.413,-271741.3936,-23895225.38,-1673434.698,-2392567.723,-1488045.876
2025/01/01 22:00:00,-2759765.018,-296793.7702,-2020098.281,-63332.85223,-66417.26514,-353091.163,-422587.4094,-1526785.93,-256323.694,-37380984.33,-1575500.935,-2209028.248,-1373894.391
2025/01/01 23:00:00,-2644617.173,-280941.2793,-1939842.754,-60230.79587,-62767.64189,-337249.639,-410924.5034,-1283921.316,-243485.9918,-36411430.68,-1498159.663,-2091038.573,-1300511.286
2025/01/02 00:00:00,-2651212.454,-280060.5767,-1916725.651,-61168.57034,-62397.91103,-336191.4509,-393152.4683,-1373747.986,-233842.613,-20603557.8,-1480430.074,-2084483.526,-1296434.406
2025/01/02 01:00:00,-2594198.311,-272134.3424,-1878466.93,-59776.27228,-60820.0109,-329386.7944,-386487.9569,-1341904.7,-228761.9964,-34968393.65,-1452159.969,-2025488.773,-1259742.906
2025/01/02 02:00:00,-2550009.439,-274776.428,-1849300.202,-58717.22699,-59602.24708,-324309.2004,-383155.6942,-1325745.368,-224604.5326,-34588309.3,-1431405.141,-2045153.745,-1271973.441
2025/01/02 03:00:00,-2524221.476,-276537.8108,-1832385.916,-58136.31245,-58870.12217,-321685.2792,-382600.3192,-1301506.48,-221806.7613,-34725173.45,-1421164.644,-2058263.674,-1280127.096
2025/01/02 04:00:00,-2561198.457,-277418.5135,-1854536.571,-59321.05714,-61457.3814,-330335.7031,-383155.6942,-1285347.149,-229421.3875,-35613651.65,-1461720.507,-2064818.719,-1284203.976
