,AGO1,AGO2,AGO3,BWA1,BWA2,BWA3,DRC1,DRC2,LSO1,LSO2,MOZ_NC1,MOZ_NC2,MOZ_NC3,MOZ_NC4,MOZ_S1,MOZ_S2,MOZ_S3,MWI1,MWI2,MWI3,NAM1,NAM2,NAM3,NAM4,NAM5,NAM6,NAM7,SWZ1,SWZ2,TZA1,TZA2,TZA3,TZA4,TZA5,TZA6,ZAF1,ZAF2,ZAF3,ZAF4,ZAF5,ZAF6,ZAF7,ZAF8,ZMB1,ZMB2,ZMB3,ZWE1,ZWE2,ZWE3,ZWE4
2030/01/01 00:00:00,0.075459871,0.315263109,0.387997516,0.876344508,0.33535675,0.162669964,0.932012596,0.031724695,0.319037671,0.989462649,0.172563394,0.051490879,0.128905982,0.146991632,0.25536208,0.170340693,0.278114374,0.383837997,0.170832896,0.528586531,0.563675103,0.509614601,0.560005202,0.483655424,0.330167992,0.541597478,0.350946199,0.009198872,0.029092999,0.548696726,0.545472109,0.808277439,0.380159725,0.648931993,0.722774186,0.450960003,0.999931273,0.446949886,0.607773991,0.455013353,0.329211943,0.422953382,0.999647829,0.33559208,0.23756556,0.181716794,0.396112486,0.299477349,0.543520936,0.229416842
2030/01/01 01:00:00,0.533993739,0.466976684,0.281890887,0.897956382,0.361412515,0.187337555,0.430705388,0.583360537,0.424460046,0.982853785,0.265213605,0.037227506,0.108244173,0.232195259,0.21445087,0.110851151,0.230168213,0.346347093,0.176614933,0.461913815,0.379532205,0.468352835,0.518705532,0.379106641,0.213350591,0.286005134,0.367472515,0.01956488,0.07110603,0.399781146,0.501413203,0.733160988,0.331371467,0.560080512,0.608330312,0.46660226,0.997818849,0.546305684,0.665445709,0.32406994,0.45645642,0.5190442,0.979462327,0.314012444,0.362350275,0.279508096,0.377889488,0.356050965,0.660049439,0.234475894
2030/01/01 02:00:00,0.471707403,0.526065755,0.196372255,0.416363223,0.708237229,0.779117777,0.255893632,0.566797104,0.251585997,0.073783616,0.006955783,0.088250359,0.026345208,0.006782728,0.305990208,0.191782096,0.523393721,0.058191681,0.053336514,0.125696762,0.84116052,0.2340326,0.248948903,0.752135828,0.391362841,0.921012782,0.444867836,0.075016925,0.085224834,0.291746084,0.487953624,0.658223079,0.302295244,0.552903087,0.525266895,0.290531073,0.126673288,0.99922039,0.286172852,0.996063833,0.345942593,0.541094978,0.729230549,0.19432335,0.121448778,0.04574403,0.558157494,0.346416565,0.043270688,0.242412828
2030/01/01 03:00:00,0.446898671,0.591742384,0.12648723,0.279001484,0.635550243,0.754121827,0.135242127,0.564463267,0.478944825,0.325972469,0.009709017,0.09781984,0.011981648,0.008836743,0.447747276,0.180015658,0.405987545,0.076915664,0.071409815,0.132368741,0.824637959,0.166336434,0.278299365,0.675046148,0.344944458,0.908070032,0.463500585,0.17804866,0.155409044,0.042437602,0.084375618,0.034262517,0.617434399,0.06205085,0.133048998,0.275099629,0.585625057,0.998850492,0.443779167,0.997537187,0.374846722,0.586047686,0.992617844,0.206970887,0.1219077,0.021669221,0.491072575,0.345392307,0.033429526,0.310784799
2030/01/01 04:00:00,0.433299989,0.625171433,0.096775912,0.176002344,0.532368527,0.710278106,0.167494052,0.618477749,0.661743151,0.706713782,0.010282661,0.091993954,0.00682693,0.006643426,0.351092394,0.17811802,0.340080589,0.084021272,0.099556575,0.144184486,0.794981921,0.110162677,0.288827932,0.622922404,0.259019702,0.892981132,0.469396491,0.260515515,0.192713848,0.029438023,0.092334422,0.039295244,0.683780315,0.085582354,0.094724233,0.301323976,0.87360437,0.996862662,0.576577096,0.998395517,0.486261718,0.662256987,0.997380687,0.208700457,0.139477339,0.010015907,0.46312946,0.312472354,0.025113251,0.353796977
2030/01/01 05:00:00,0.442965856,0.590026514,0.0775714,0.148795364,0.466343912,0.600876822,0.21223443,0.672608991,0.784777397,0.690169716,0.007597568,0.085898955,0.007236224,0.005619251,0.269707518,0.161243401,0.274244088,0.097282292,0.158415583,0.111631581,0.769470536,0.063462895,0.308891658,0.607156209,0.183915548,0.864724342,0.464440936,0.365246827,0.229418498,0.034444532,0.099338163,0.038327175,0.688686492,0.118700146,0.099809435,0.34721058,0.882029201,0.995301398,0.724783809,0.988289881,0.632507278,0.676362369,0.9767322,0.211692665,0.181254442,0.013123213,0.457432501,0.27444064,0.022811065,0.352130895
2030/01/01 06:00:00,0.408710602,0.501130221,0.059557687,0.198990256,0.447841574,0.494643378,0.220190343,0.692355408,0.845252283,0.432530133,0.00678052,0.092667965,0.015772658,0.004819815,0.223365429,0.135594533,0.223362275,0.103777142,0.189533138,0.100111935,0.732431506,0.043890514,0.369449318,0.597431036,0.135284569,0.83239759,0.455707602,0.461318759,0.311678079,0.050333932,0.11218249,0.045047546,0.774227386,0.145212748,0.094449111,0.439790461,0.756568095,0.994326205,0.749226879,0.934419444,0.734438013,0.621435472,0.970719725,0.21772887,0.263378449,0.030884071,0.47642784,0.296509326,0.024226679,0.294010944
2030/01/01 07:00:00,0.247391307,0.28913851,0.024068071,0.222248627,0.284994202,0.355746199,0.058206438,0.66154337,0.91923554,0.3555256,0.006803637,0.08042437,0.022368664,0.003520542,0.315062522,0.126241335,0.212598342,0.095008682,0.099183253,0.043555069,0.685145219,0.031775429,0.440939787,0.585787341,0.115575335,0.784482034,0.456811696,0.512849788,0.386315789,0.107834662,0.15226526,0.08744501,0.77728127,0.162666652,0.049179231,0.492892298,0.656709093,0.980563965,0.801455704,0.967292684,0.759327356,0.673484114,0.958478605,0.157751315,0.221030748,0.047830929,0.391916698,0.269052182,0.013455639,0.092980482
2030/01/01 08:00:00,0.330132219,0.244059641,0.04843486,0.186258289,0.276982628,0.375053682,0.001556333,0.688512445,0.677770548,0.450427564,0.00361223,0.060341873,0.05027386,0.00064996,0.213329166,0.203694229,0.253984208,0.145117842,0.080900063,0.089585011,0.715355049,0.03613772,0.449941819,0.469759307,0.098555499,0.754432603,0.423680702,0.352267278,0.52326699,0.135512906,0.146953657,0.068288213,0.711039947,0.120637096,0.034247299,0.527927812,0.751194855,0.944876464,0.694127073,0.986735352,0.739803379,0.74967199,0.968938213,0.200316709,0.093322414,0.022945998,0.27546235,0.214238875,0.004699823,0.060927223
2030/01/01 09:00:00,0.253691765,0.184022711,0.106411209,0.261080665,0.435628959,0.504590146,0.001297411,0.689997888,0.976289193,0.767965419,0.007524678,0.040556979,0.111301536,0.003571187,0.172792009,0.364321205,0.291059184,0.224778405,0.12011918,0.191084804,0.63807255,0.091603516,0.488643619,0.488106119,0.159948866,0.693784071,0.446727485,0.391758815,0.646637966,0.099503645,0.120897533,0.122857483,0.660086472,0.157129748,0.038460399,0.539374922,0.91460658,0.927709013,0.933150738,0.961614131,0.839550768,0.80372828,0.924609392,0.253607552,0.084569422,0.077447375,0.255256503,0.194762094,0.004189405,0.086644518
