,AO,BDI,CMR,CAF,TCD,COD,COG,GNQ,GAB,DJI,EGY,ERI,ETH,KEN_NBOR,KEN_CSTR,KEN_WSTR,KEN_MTKR,RWA,SOM,SSD,SDN,TZA,UGA,DZA,LBY,MRT,MA,TUN,BWA,SWZ,LSO,MWI,MOZ_NC,MOZ_S,NAM,ZAF,ZMB,ZWE,BEN,BFA,CIV,GMB,GHA,GIN,GNB,LBR,MLI,NER,NGA_CNW,NGA_E,NGA_S,NGA_W,SEN,SLE,TGO
01/01/2019 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2019 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2019 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2019 03:00,0,0.000286,0,0,0,0,0,0,0,0.01303,0,0.001736,0.013453,0.011344,0.043631,0.005232,0.014471,0.000053,0.061171,0,0,0.016038,0.00057,0,0,0,0,0,0.000953,0.017575,0.016587,0.029429,0.019452,0.017952,0,0.012519,0.000663,0.006624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2019 04:00,0.012256,0.069027,0,0.001628,0,0.014891,0.000083,0,0,0.151734,0.001929,0.10776,0.19168,0.137881,0.251375,0.146238,0.168803,0.052908,0.277581,0.029926,0.028487,0.172331,0.106639,0,0,0,0,0,0.030227,0.085394,0.08977,0.218076,0.168837,0.089562,0.062482,0.148243,0.035755,0.071579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2019 05:00,0.137465,0.205919,0.023765,0.088224,0.039232,0.140936,0.048998,0.008642,0.018456,0.413572,0.081681,0.320325,0.434765,0.393205,0.494306,0.389833,0.4165,0.158082,0.527632,0.148332,0.220761,0.46198,0.349214,0,0.00657,0,0,0,0.097506,0.184514,0.228148,0.459435,0.385975,0.194113,0.276482,0.386508,0.145387,0.178749,0,0,0,0,0,0,0,0,0,0.000019,0.001307,0.011543,0.003212,0.000087,0,0,0
01/01/2019 06:00,0.367132,0.347122,0.205423,0.255597,0.211425,0.302493,0.192772,0.069786,0.118287,0.632571,0.241531,0.555174,0.655303,0.663333,0.714306,0.626544,0.672823,0.27816,0.733708,0.261196,0.449446,0.699178,0.574224,0.002777,0.147655,0,0,0.015187,0.210183,0.313006,0.448665,0.68202,0.6176,0.326975,0.529418,0.616665,0.357741,0.283826,0.042725,0.015267,0.006694,0,0.025694,0.000208,0,0.000582,0.001955,0.073492,0.106795,0.167757,0.098815,0.06168,0,0.000002,0.036568
01/01/2019 07:00,0.573019,0.579387,0.4419,0.428545,0.460659,0.465735,0.348594,0.176281,0.27585,0.790726,0.428156,0.720288,0.826255,0.856284,0.873539,0.820322,0.85763,0.394241,0.875777,0.363015,0.646449,0.885985,0.757474,0.125084,0.354295,0.026049,0.017584,0.14594,0.364045,0.476087,0.691216,0.862265,0.8078,0.4349,0.749187,0.811647,0.709587,0.346056,0.216701,0.165983,0.115542,0.016811,0.186329,0.079427,0.020706,0.047027,0.107673,0.280613,0.333934,0.401935,0.294122,0.247244,0.018753,0.056574,0.2071
01/01/2019 08:00,0.658035,0.697708,0.660235,0.58569,0.671739,0.561435,0.473687,0.311006,0.45146,0.880818,0.516779,0.822038,0.929621,0.972203,0.90868,0.94942,0.96877,0.423851,0.947541,0.4633,0.789678,1.009733,0.90027,0.324668,0.531502,0.207675,0.173053,0.325026,0.508619,0.748785,0.907732,0.978238,0.9411,0.54845,0.921143,0.959558,0.830445,0.426856,0.42889,0.393578,0.317468,0.156335,0.401904,0.29525,0.161445,0.193945,0.324974,0.481641,0.557826,0.618966,0.510154,0.462148,0.163713,0.25219,0.418799
01/01/2019 09:00,0.744106,0.752034,0.829869,0.647357,0.800842,0.669529,0.560073,0.422592,0.595796,0.893686,0.478824,0.84706,0.955677,1.029133,0.946203,1.000103,1.003857,0.420715,0.941724,0.576429,0.871281,1.05973,0.974471,0.506081,0.655709,0.427169,0.343416,0.467934,0.554334,0.833087,0.988079,1.033817,1.02125,0.717,1.031119,1.053887,0.762732,0.515433,0.616289,0.607491,0.520909,0.346444,0.601313,0.518066,0.343277,0.443893,0.532422,0.553739,0.73375,0.784554,0.616282,0.628098,0.370419,0.476132,0.620987
