,CAPP,EAPP,NAPP,SAPP,WAPP
01/01/2019 00:00,-14647317.32,-67513799.16,-37950863.27,-49955395.17,-24183403.47
01/01/2019 01:00,-14296884.36,-63926479.81,-35935357.23,-46785061.7,-23624711.01
01/01/2019 02:00,-13983945.66,-60903580.77,-34748411.44,-46202112.32,-23123554.82
01/01/2019 03:00,-13822627.95,-58811478.72,-34300582.62,-45706159.06,-22871475.66
01/01/2019 04:00,-14168807.4,-59697496.13,-34098698.14,-45213024.82,-23211700.26
01/01/2019 05:00,-14572769.67,-60552853.66,-34217908.71,-45362584.13,-23675211.42
01/01/2019 06:00,-13987467.59,-59912486.13,-36895964.73,-46332895.21,-22527950.7
01/01/2019 07:00,-14575255.05,-62129124.2,-39375070.2,-48374624.05,-23908174.37
01/01/2019 08:00,-15225768.52,-61497747.26,-39261543.9,-50516395.24,-25600886.93
01/01/2019 09:00,-15640432.34,-63801919.71,-41537757.08,-53433658.93,-26673343.58
01/01/2019 10:00,-15691947.62,-65200001.45,-43229401.28,-56157988.17,-27345222.41
01/01/2019 11:00,-15860675.59,-66719683.62,-43561363.08,-57831703.39,-28009211.7
01/01/2019 12:00,-15889648.86,-67376033.49,-43607195.42,-58148364.12,-28496978.53
01/01/2019 13:00,-16036835.59,-67657288.9,-43254509.8,-57970100.33,-28940880.06
01/01/2019 14:00,-16225961.27,-67691261.66,-43013945.3,-56510880.33,-29333967.69
01/01/2019 15:00,-16325727.95,-68068618.86,-42839937.98,-55500754.35,-29745394.16
01/01/2019 16:00,-16061984.33,-67016321.85,-42817544.48,-55269780.78,-29046317.16
01/01/2019 17:00,-16082728.19,-68408109.65,-43610552.68,-55264147.03,-28830056.55
01/01/2019 18:00,-17716677.48,-75082335.69,-49522413.77,-56481356.36,-31250305.03
01/01/2019 19:00,-17830402.22,-75555726.51,-51581276.88,-58543573.79,-31080311.25
01/01/2019 20:00,-17604060.66,-74776950.54,-51960969.08,-60219384.95,-30318561.09
01/01/2019 21:00,-17094966.38,-72362584.82,-48677548.81,-60568174.74,-29092902.55
01/01/2019 22:00,-16233166.67,-68971375.18,-45434621.85,-57705991.91,-27485000.39
01/01/2019 23:00,-15570180,-65662598.75,-42100240.28,-55462033.47,-26207956.01
02/01/2019 00:00,-15448820.41,-62541285.36,-39134741.55,-50079942.11,-25872747.27
02/01/2019 01:00,-15133306.42,-59815328.79,-36748424.89,-46895484.03,-25177537.18
02/01/2019 02:00,-14890553.74,-57808696.24,-35266222.79,-46303529.58,-24604279.67
02/01/2019 03:00,-14751603.5,-56600173.25,-34554063.91,-45792152.92,-24198505.17
02/01/2019 04:00,-14941445.51,-57915682.83,-34311016.94,-45295347.82,-24355610.87
02/01/2019 05:00,-14895001.72,-58575888.59,-34240860.51,-45407352.44,-24119780.69
02/01/2019 06:00,-14200179.68,-58329267.43,-36410997.55,-46378972.86,-22848015.67
02/01/2019 07:00,-14583788.63,-62309956.9,-38474885.49,-48392153.86,-23884318.77
02/01/2019 08:00,-14648077.28,-60503880.9,-38091973.04,-50471496.75,-24564030.17
02/01/2019 09:00,-14705895.89,-62848773.37,-40927803.4,-53361913.62,-25091638.22
02/01/2019 10:00,-14644714.5,-65368230.63,-41856310.8,-56066387.21,-25738085.52
02/01/2019 11:00,-14847071.29,-68966237.56,-42762696.31,-57748783.36,-26482035.9
02/01/2019 12:00,-15063755.57,-69637955.72,-44067969.93,-58099661.07,-27312833.81
02/01/2019 13:00,-15301351.86,-68849515.6,-43836541.76,-57923662.07,-27811675.85
02/01/2019 14:00,-15419032.48,-68600967.79,-43612492.89,-56443046.47,-28135941.92
02/01/2019 15:00,-15587713.09,-68698018.7,-43213686.41,-55426924.44,-28467214.8
02/01/2019 16:00,-15535239.55,-68054812.01,-42788143.52,-55226772.26,-28157709.17
02/01/2019 17:00,-16122299.38,-70483147.72,-43514673.21,-55299011.51,-28981672.75
02/01/2019 18:00,-18198306.84,-77844781.34,-49588067.36,-56578410.86,-32216545.33
02/01/2019 19:00,-18528769.98,-78474890.17,-51994944.83,-58663904.02,-32397297.73
02/01/2019 20:00,-18348094.42,-77499116.47,-52354671.21,-60343004.24,-31738503.51
02/01/2019 21:00,-17832474.5,-74911932.87,-49001526.84,-60688163.58,-30529169.42
02/01/2019 22:00,-16976019.26,-71328461.18,-45596966.16,-57824267.51,-28831124.39
02/01/2019 23:00,-16240034.68,-67738935.83,-42062563.33,-55568171.36,-27334494.85
03/01/2019 00:00,-15633434.52,-63448083.22,-38363147.43,-49852609.15,-26094949.95
03/01/2019 01:00,-15267803.8,-60503692.01,-36156878.24,-47096371.71,-25443640.21
03/01/2019 02:00,-14973860.01,-58277419.81,-34858535.48,-46201968.14,-24912158.28
03/01/2019 03:00,-14783967.69,-56846973.53,-34328167.82,-45794680.42,-24552245.98
03/01/2019 04:00,-15004933.58,-58041405.19,-34101985.83,-45361138.29,-24681897.48
03/01/2019 05:00,-14985930.79,-58639274.8,-34050063.85,-45327657.02,-24422201.52
03/01/2019 06:00,-14296978.46,-58426131.72,-36233987.42,-46323913.76,-23122567.02
03/01/2019 07:00,-14680284.4,-61082303.59,-38386587.23,-49214039.82,-24114247.55
03/01/2019 08:00,-14732516.69,-60266736.37,-38012314.08,-51198357.05,-24742007.38
03/01/2019 09:00,-14770588.09,-62590492.89,-40560260.83,-54003693.6,-25227565.17
03/01/2019 10:00,-14929177.39,-63917787.01,-42102820.34,-56816420.74,-25858429.28
03/01/2019 11:00,-15210954.75,-65097737.13,-43185864.49,-58166392.85,-26648024.35
03/01/2019 12:00,-15562652.79,-67170726.75,-44064777.95,-58289414.78,-27500509.72
03/01/2019 13:00,-15728164.13,-67347228.42,-44094785.78,-57890405.06,-27950149.89
03/01/2019 14:00,-15741402.44,-67493902.21,-43738417.99,-56557894.16,-28232001.88
03/01/2019 15:00,-15822096.94,-67696953.24,-43788427.81,-55474327.19,-28522748.64
03/01/2019 16:00,-15806350.93,-67250265.26,-43566560.55,-55305117.22,-28046368.87
03/01/2019 17:00,-16420131.36,-69887500.71,-44333893.23,-55649201.13,-28696959.44
03/01/2019 18:00,-18557491.24,-77451192.96,-50443448.7,-56775080.51,-31778153.69
03/01/2019 19:00,-18881028.39,-78318514.04,-52806682.31,-58418943.43,-32015144.91
03/01/2019 20:00,-18693810.57,-77581335,-53120896.29,-60239678.43,-31412162.05
03/01/2019 21:00,-18171385.62,-75231375.74,-49721701.6,-60214761.64,-30257361.03
03/01/2019 22:00,-17288017.88,-71899065.96,-46291066.24,-57242559.34,-28731948.02
03/01/2019 23:00,-16526496.21,-68547793.49,-42725558.77,-55489533.37,-27407659.78
04/01/2019 00:00,-14281559.92,-64046342.6,-40218520.2,-49672381.7,-23724408.49
04/01/2019 01:00,-13985941.68,-61151073.76,-38117531.93,-46928856.01,-23144585.88
04/01/2019 02:00,-13726537.52,-58815927.07,-36844376.66,-46042391.79,-22623807.2
04/01/2019 03:00,-13618628.16,-57405989.37,-36309295.73,-45649647.86,-22351529.72
04/01/2019 04:00,-13921696.73,-58589577.03,-36086901.33,-45230756.07,-22702624.62
04/01/2019 05:00,-14280899.09,-59763621.62,-36186356.8,-45251182.42,-23180875.24
04/01/2019 06:00,-13651137.24,-59155922.87,-38841573.74,-46263832.5,-22037563.94
04/01/2019 07:00,-14237394.08,-61850533.29,-41555441.54,-49178885.96,-23303378.35
04/01/2019 08:00,-14884463.05,-61731909.94,-41536287.33,-51238390.73,-24875575.03
04/01/2019 09:00,-15207938.04,-64500901.39,-43935606.78,-54085153.47,-25848119
04/01/2019 10:00,-15441349.54,-66295697.42,-45513980.36,-56892590.95,-26469353.94
04/01/2019 11:00,-15632674.75,-69050594.57,-46484154.27,-58233925.07,-27078147.57
04/01/2019 12:00,-15791348.11,-69214238.08,-47084452.12,-58318270.35,-27454054.04
04/01/2019 13:00,-15813290.19,-69312605.15,-47089429.92,-57903891.3,-27805076.17
04/01/2019 14:00,-15907623.61,-69836163.57,-47038086.26,-56576590.28,-28209850.04
04/01/2019 15:00,-16009081.87,-70006434.68,-46909899.35,-55493348.07,-28508184.77
04/01/2019 16:00,-15874119.69,-69334508.16,-46374092.84,-55310246.52,-27789012.21
04/01/2019 17:00,-15891128.75,-71110680.94,-46794466.91,-55587637.44,-27560647.02
04/01/2019 18:00,-17596223.89,-78161110.52,-52361630.03,-56663894.07,-29956554.4
04/01/2019 19:00,-17709139.64,-78764349.66,-54200571.1,-58285956.14,-29901473.55
04/01/2019 20:00,-17457459.58,-78112378.2,-54359483.79,-60104693.71,-29256885.36
04/01/2019 21:00,-16923922.42,-75818074.44,-50856571.96,-60085051.76,-28144562.67
04/01/2019 22:00,-16006814.39,-72352843.72,-47497251.01,-57116210.96,-26635167.73
04/01/2019 23:00,-15289844.92,-68975472,-44046223.57,-55377436.5,-25456824.72
05/01/2019 00:00,-14202831.71,-65093466.63,-40117628.68,-49693765.48,-23703280.56
05/01/2019 01:00,-13935388.74,-62135861.53,-38076879.5,-46945802.41,-23107063.52
05/01/2019 02:00,-13702482.97,-59735107.82,-36863130.32,-46054893.38,-22565871.26
05/01/2019 03:00,-13622449.54,-58262968.83,-36387868.81,-45657678.48,-22277450.75
05/01/2019 04:00,-13986709.85,-59109662.92,-36091722.1,-45222218.54,-22591829.41
05/01/2019 05:00,-14405309.55,-60027478.11,-36117973.61,-45226026.55,-23017867.22
05/01/2019 06:00,-13839229.95,-59730318.52,-38698838.14,-46216367.22,-21841523.9
05/01/2019 07:00,-14466041.55,-62202509.87,-41251665.18,-49143796.99,-23139114.05
05/01/2019 08:00,-15154155.53,-61282505.71,-41090327.27,-51208765.28,-24728685.13
05/01/2019 09:00,-15553407.05,-63790635.68,-43398996.81,-54062299.89,-25738749.88
05/01/2019 10:00,-15698649.74,-65312188.01,-44857715.7,-56890414.53,-26391747.89
05/01/2019 11:00,-15757145.16,-66926512.85,-45729929.04,-58232330.78,-27005508.33
05/01/2019 12:00,-15750678.26,-68044140.18,-46206855.74,-58322996.37,-27389165.91
05/01/2019 13:00,-15870243.13,-68844919.55,-46010801.64,-57896387.19,-27807748.03
05/01/2019 14:00,-16111592.25,-68689332.65,-45760477.36,-56557541.22,-28271783.9
05/01/2019 15:00,-16255668.92,-68597477.01,-45779976.05,-55457214.65,-28629092.43
05/01/2019 16:00,-16004007.24,-68142709.7,-45421647.93,-55282842.05,-27921965.77
05/01/2019 17:00,-16049463.06,-70142925.74,-45944851.11,-55566338.61,-27717595.8
05/01/2019 18:00,-17699428.5,-77414064.59,-51650514.44,-56648868.81,-30125455.21
05/01/2019 19:00,-17759758.68,-77940719.5,-53327924.93,-58269707.03,-29956603.06
05/01/2019 20:00,-17471153.89,-77211212.2,-53324444.07,-60087417.11,-29192303.7
05/01/2019 21:00,-16899018.51,-74850767.8,-49658768.19,-60066451.37,-27964834.51
05/01/2019 22:00,-16031667.69,-71492507.48,-46269657.36,-57095968.95,-26437599.12
05/01/2019 23:00,-15364530.89,-68216177.36,-42785357.71,-55355238.15,-25240063.82
06/01/2019 00:00,-14326842.8,-64446856.45,-38828959.18,-49669825.55,-23470532.89
06/01/2019 01:00,-14053433.06,-61923505.75,-36773838.16,-46920978.76,-22896929.45
06/01/2019 02:00,-13816801.9,-59969182.89,-35543906.17,-46028978,-22383601.93
06/01/2019 03:00,-13731574.87,-58936486.24,-35053939.17,-45630890.34,-22118157.06
06/01/2019 04:00,-14074853.25,-59490472.25,-34822495.23,-45211271.95,-22443567.09
06/01/2019 05:00,-14477074.12,-60110842.09,-34910057.27,-45231078.65,-22880861.91
06/01/2019 06:00,-13890106.57,-58864673.12,-37555742.22,-46236246.81,-21712843.51
06/01/2019 07:00,-14464693.78,-60821329.01,-40375884.24,-49172623.33,-23097370.64
06/01/2019 08:00,-15075447.36,-60053416.42,-40455718.97,-51242253.53,-24745573.99
06/01/2019 09:00,-15467509.42,-62087803.74,-42944500.77,-54100777.33,-25854302.05
06/01/2019 10:00,-15569633.32,-63447459.9,-44515706.25,-56926281.47,-26601740.04
06/01/2019 11:00,-15648171.52,-64776409.2,-45768433.79,-58262008.96,-27315533.24
06/01/2019 12:00,-15641646.37,-65243182.82,-46372129.46,-58355605.19,-27812108.36
06/01/2019 13:00,-15831826.46,-65547348.5,-46054599.37,-57933281.79,-28187189.27
06/01/2019 14:00,-16126200.07,-65520085.86,-45836417.59,-56598152.57,-28611648.59
06/01/2019 15:00,-16310324.37,-65726039.57,-45489880.54,-55495193.93,-28940014.09
06/01/2019 16:00,-16017409.81,-65703181.81,-45156990,-55319677.39,-28347236.92
06/01/2019 17:00,-15989288.06,-68129707.62,-45665351.51,-55602608.32,-28252551.41
06/01/2019 18:00,-17601304.3,-75838250.75,-51337714.74,-56684209.35,-30771916.71
06/01/2019 19:00,-17712948.82,-76534954.67,-53212675.3,-58306331.65,-30532869.27
06/01/2019 20:00,-17468695.59,-75973825.09,-53407508.43,-60124966.22,-29702477.27
06/01/2019 21:00,-16939453.07,-73788329.16,-49942501.2,-60105273.59,-28404331.38
06/01/2019 22:00,-16067888.82,-70278193.94,-46349314.74,-57130434.66,-26743031.06
06/01/2019 23:00,-15396460.59,-66853200.41,-42663438.07,-55385234.37,-25411188.26
07/01/2019 00:00,-14354913.75,-62933454.54,-38502870.89,-49695560.3,-23505157.45
07/01/2019 01:00,-14067751.28,-59974401.12,-36368357.41,-46947146.73,-22988732.19
07/01/2019 02:00,-13816406.73,-57578826.26,-35059501.55,-46055523.11,-22529500.43
07/01/2019 03:00,-13717073.4,-56107499.83,-34489080.75,-45657678.37,-22322689.84
07/01/2019 04:00,-14065951.55,-56900989.19,-34213929.28,-45223657.01,-22674953.13
07/01/2019 05:00,-14471506.58,-57744348.35,-34264016.33,-45228188.22,-23130263.5
07/01/2019 06:00,-13889761.8,-57467181.55,-36866476.22,-46221657.41,-21998673.75
07/01/2019 07:00,-14463846.62,-60077444.54,-39741023.96,-49126643.68,-23367393.48
07/01/2019 08:00,-15116496.79,-59620605.3,-39947076.15,-51167890.74,-25057814.04
07/01/2019 09:00,-15498385.56,-61079346.32,-42453561.89,-54003529.19,-26153458.56
07/01/2019 10:00,-15546212.79,-62474423.13,-43974282.66,-56836871.23,-26910514.22
07/01/2019 11:00,-15574290.16,-64051215.98,-45107477.66,-58178259.69,-27644517.18
07/01/2019 12:00,-15635910.53,-63416047.46,-45658678.17,-58274291.49,-28162955.52
07/01/2019 13:00,-15827919.41,-64359819.68,-45489269.04,-57854965.88,-28548361.24
07/01/2019 14:00,-15992611.61,-64295599.06,-45495270.62,-56534294.02,-28988916.24
07/01/2019 15:00,-16138056.09,-64509874.26,-45054204.47,-55450110.08,-29317903.84
07/01/2019 16:00,-15919475.16,-64824300.99,-44619979.31,-55278418.46,-28577950.77
07/01/2019 17:00,-15944772.99,-67588347.76,-45136494.21,-55570108.46,-28339471.42
07/01/2019 18:00,-17569611.17,-75618945.86,-50806735.97,-56659921.17,-30711160.75
07/01/2019 19:00,-17680805.01,-76301886.24,-52795865.09,-58287202.89,-30509107.21
07/01/2019 20:00,-17433880.52,-75723570.67,-53106207.18,-60110783.72,-29715056.36
07/01/2019 21:00,-16904970.4,-73520347.06,-49755134.37,-60096267.53,-28455781.6
07/01/2019 22:00,-16012179.4,-70441196.99,-46260529.84,-57130220.64,-26946022.07
07/01/2019 23:00,-15319760.98,-67449671.79,-42674455.09,-55393825.17,-25767321.58
08/01/2019 00:00,-14256649.59,-63963596.27,-38611757.4,-52980768.66,-24014335.32
08/01/2019 01:00,-14029094.69,-61140461.76,-36407428.03,-49577104.04,-23500524.74
08/01/2019 02:00,-13837404.65,-58871661.58,-35027815.87,-48945376.33,-23042821.28
08/01/2019 03:00,-13799135.23,-57528769.76,-34387958.15,-48404971.59,-22838595.5
08/01/2019 04:00,-14137501.99,-58456290.1,-34104017.32,-47855208.39,-23205583.54
08/01/2019 05:00,-14536272.76,-59406891.31,-34144628.52,-47985929.73,-23693140.65
08/01/2019 06:00,-13943933.42,-58996764.38,-36739925.87,-48981116.9,-22574124.44
08/01/2019 07:00,-14520878.83,-61139495.58,-39659120.8,-51118600.39,-23920603.37
08/01/2019 08:00,-15181810.51,-61741101.53,-39923012.48,-53399911.21,-25556682.82
08/01/2019 09:00,-15567826.12,-64165772.78,-42471539.01,-56559716.09,-26635290.41
08/01/2019 10:00,-15670795.58,-66486515.97,-43856403.27,-59481159.64,-27362647.2
08/01/2019 11:00,-15796964.56,-67321416.96,-44736323.56,-61248996.29,-28044113.42
08/01/2019 12:00,-15800500.27,-67250745.41,-45202413.54,-61582461.05,-28524192.39
08/01/2019 13:00,-16033249.48,-66542579.51,-45247154.37,-61415218.34,-28843525.57
08/01/2019 14:00,-16310593.05,-65438587.96,-45126792.41,-59863510.53,-29229964.64
08/01/2019 15:00,-16474082.58,-65300672.1,-44968080.87,-58797598.61,-29505849.8
08/01/2019 16:00,-16225765.94,-65364437.32,-44538555.01,-58567606.94,-28801583.86
08/01/2019 17:00,-16240870.13,-67870126.57,-45039390.59,-58564023.22,-28575161.94
08/01/2019 18:00,-17860392.57,-75649047.67,-50734676.27,-59820463.86,-30969681.05
08/01/2019 19:00,-17919949.05,-76291187.06,-52635278.81,-61973885.36,-30813069.95
08/01/2019 20:00,-17636233.66,-75676708.51,-52853909.23,-63811988,-30062356.34
08/01/2019 21:00,-17069368.29,-73426029.62,-49412970.86,-64258363.11,-28846757.84
08/01/2019 22:00,-16167951.91,-70228394.61,-46064437.29,-61233478.22,-27362997.83
08/01/2019 23:00,-15468149.9,-67108536.43,-42620099.76,-58865105.74,-26208805.26
09/01/2019 00:00,-15307848.48,-64177437.13,-39548064.74,-53073196.15,-25995840.5
09/01/2019 01:00,-14965267.1,-61326347.05,-37184564.94,-49657855.42,-25364469.03
09/01/2019 02:00,-14694484.72,-59200053.12,-35726703.51,-49019507.85,-24851946.9
09/01/2019 03:00,-14528588.26,-57861165.06,-35040567.15,-48465858.08,-24510575.3
09/01/2019 04:00,-14756997.79,-58562766.79,-34826258.41,-47910117.48,-24660720.58
09/01/2019 05:00,-14749752.86,-58690141.98,-34786577.12,-47996122.74,-24448027.34
09/01/2019 06:00,-14087276.93,-58383019.63,-36983159.11,-48988540.99,-23180909.69
09/01/2019 07:00,-14495964.43,-59982653.59,-39071643.48,-51128503.1,-24044010.77
09/01/2019 08:00,-14609997.33,-59130318.98,-38717810.72,-53352199.28,-24551963.02
09/01/2019 09:00,-14693298.14,-60395407.7,-41091730.05,-56481895.91,-24903728.38
09/01/2019 10:00,-14865858.27,-62746557.41,-42538380.91,-59422990.16,-25483320.74
09/01/2019 11:00,-15112151.01,-62917539.18,-43366495.56,-61235376.1,-26249262.26
09/01/2019 12:00,-15470682.88,-63499992.57,-44065182.8,-61622245.08,-27066058.92
09/01/2019 13:00,-15654887.56,-64356582.47,-44494635.13,-61447579.29,-27530572.69
09/01/2019 14:00,-15786045.79,-63388398.78,-44467446.73,-59864624.91,-27815415.68
09/01/2019 15:00,-15940414.34,-64134854.3,-44472405.99,-58782411.34,-28104744.62
09/01/2019 16:00,-15818722.48,-64629663.52,-44112151.72,-58557611.03,-27711536.45
09/01/2019 17:00,-16372904.39,-68201413.3,-44791061.04,-58612857.12,-28454006.56
09/01/2019 18:00,-18413650.72,-76695760.94,-50933262.44,-59910600.54,-31596468.43
09/01/2019 19:00,-18658764.68,-77797475.52,-53212586.79,-62089806.8,-31915782.94
09/01/2019 20:00,-18421938.24,-77298532.48,-53442882.03,-63933755.2,-31392220.12
09/01/2019 21:00,-17847886.03,-75189421.81,-49957722.02,-64378924.13,-30317245.21
09/01/2019 22:00,-16926368.09,-71907889.05,-46492188.43,-61346609.02,-28742066.01
09/01/2019 23:00,-16124212.87,-68602808.9,-42894469.58,-58959896.21,-27366707.34
10/01/2019 00:00,-15452894.96,-64618074.75,-39135929.36,-52824779.46,-26245870.13
10/01/2019 01:00,-15138584.33,-61644045.62,-36896914.56,-49846322.13,-25570536.14
10/01/2019 02:00,-14898134.09,-59393125.33,-35559126.44,-48903482.13,-25012488.54
10/01/2019 03:00,-14760430.31,-57926262.27,-34995340.87,-48458236.5,-24627149.95
10/01/2019 04:00,-14981178.49,-58710398.09,-34719486.45,-47979735.67,-24730388.28
