,MRT1,MA1,MA2,MA3,MA4,MA5,MA6,MA7,MA8,MA9,MA10,MA11,MA12,MA13,MA14,MA15,MA16,MA_other,TUN1,TUN2,TUN3,TUN4,TUN5
01/01/2019 00:00,0.584,0.306,0.649,0.734,0.064,0.211,0.32,0.188,0.316,0.31,0.559,0.446,0.199,0.168,0.10,0.117,0.103,0.137,0.664,0.677,0.667,0.786,0.719
01/01/2019 01:00,0.574,0.256,0.607,0.698,0.069,0.181,0.284,0.142,0.287,0.282,0.636,0.403,0.166,0.141,0.092,0.106,0.093,0.148,0.739,0.752,0.746,0.853,0.796
01/01/2019 02:00,0.552,0.204,0.568,0.664,0.067,0.147,0.241,0.126,0.251,0.248,0.712,0.35,0.13,0.112,0.081,0.092,0.081,0.146,0.793,0.819,0.818,0.907,0.864
01/01/2019 03:00,0.521,0.158,0.594,0.687,0.066,0.117,0.199,0.123,0.215,0.214,0.752,0.3,0.101,0.087,0.063,0.069,0.063,0.139,0.819,0.854,0.86,0.935,0.9
01/01/2019 04:00,0.499,0.132,0.624,0.714,0.068,0.099,0.174,0.13,0.191,0.193,0.751,0.267,0.084,0.072,0.049,0.052,0.049,0.125,0.817,0.858,0.866,0.938,0.904
01/01/2019 05:00,0.466,0.123,0.623,0.711,0.075,0.093,0.166,0.127,0.185,0.188,0.723,0.257,0.078,0.067,0.047,0.049,0.046,0.095,0.805,0.872,0.886,0.951,0.922
01/01/2019 06:00,0.444,0.124,0.602,0.692,0.086,0.093,0.167,0.105,0.187,0.19,0.692,0.26,0.078,0.068,0.046,0.047,0.045,0.082,0.794,0.879,0.895,0.956,0.929
01/01/2019 07:00,0.459,0.123,0.58,0.67,0.093,0.092,0.166,0.08,0.188,0.19,0.683,0.26,0.077,0.067,0.041,0.042,0.04,0.069,0.769,0.884,0.903,0.96,0.934
01/01/2019 08:00,0.44,0.115,0.535,0.623,0.093,0.084,0.155,0.064,0.176,0.179,0.662,0.245,0.072,0.062,0.036,0.036,0.035,0.056,0.754,0.883,0.898,0.957,0.929
01/01/2019 09:00,0.354,0.082,0.45,0.533,0.059,0.059,0.115,0.046,0.143,0.152,0.559,0.196,0.051,0.044,0.026,0.023,0.025,0.034,0.768,0.872,0.882,0.947,0.915
01/01/2019 10:00,0.31,0.053,0.519,0.603,0.031,0.036,0.084,0.023,0.108,0.121,0.536,0.151,0.031,0.026,0.013,0.009,0.013,0.011,0.742,0.852,0.853,0.928,0.889
01/01/2019 11:00,0.334,0.036,0.59,0.667,0.019,0.02,0.059,0.008,0.077,0.094,0.622,0.114,0.02,0.016,0.005,0.002,0.005,0.003,0.705,0.828,0.823,0.907,0.86
01/01/2019 12:00,0.376,0.03,0.407,0.492,0.009,0.013,0.042,0.02,0.053,0.074,0.52,0.086,0.016,0.013,0.006,0.002,0.005,0.005,0.664,0.802,0.793,0.884,0.83
