,GMB1,GMB2,SEN1
01/01/2019 00:00,0.125,0.119,0.56
01/01/2019 01:00,0.124,0.119,0.556
01/01/2019 02:00,0.118,0.111,0.561
01/01/2019 03:00,0.115,0.108,0.579
01/01/2019 04:00,0.106,0.101,0.582
01/01/2019 05:00,0.102,0.097,0.58
01/01/2019 06:00,0.096,0.09,0.58
01/01/2019 07:00,0.088,0.083,0.576
01/01/2019 08:00,0.077,0.071,0.446
01/01/2019 09:00,0.046,0.04,0.27
01/01/2019 10:00,0.041,0.036,0.318
01/01/2019 11:00,0.08,0.074,0.601
01/01/2019 12:00,0.104,0.099,0.659
01/01/2019 13:00,0.117,0.111,0.542
01/01/2019 14:00,0.119,0.114,0.42
01/01/2019 15:00,0.104,0.099,0.338
01/01/2019 16:00,0.069,0.063,0.333
01/01/2019 17:00,0.027,0.022,0.429
01/01/2019 18:00,0.015,0.011,0.666
01/01/2019 19:00,0.014,0.01,0.822
01/01/2019 20:00,0.012,0.009,0.895
01/01/2019 21:00,0.004,0.002,0.908
01/01/2019 22:00,0,0,0.881
01/01/2019 23:00,0,0,0.857
02/01/2019 00:00,0.008,0.005,0.807
02/01/2019 01:00,0.042,0.036,0.752
02/01/2019 02:00,0.103,0.1,0.736
02/01/2019 03:00,0.168,0.162,0.752
02/01/2019 04:00,0.174,0.166,0.78
02/01/2019 05:00,0.166,0.16,0.783
02/01/2019 06:00,0.186,0.177,0.811
02/01/2019 07:00,0.201,0.19,0.859
02/01/2019 08:00,0.173,0.164,0.819
02/01/2019 09:00,0.144,0.137,0.847
02/01/2019 10:00,0.25,0.233,0.934
02/01/2019 11:00,0.301,0.279,0.923
02/01/2019 12:00,0.294,0.275,0.887
02/01/2019 13:00,0.289,0.271,0.807
02/01/2019 14:00,0.266,0.25,0.719
02/01/2019 15:00,0.209,0.199,0.654
02/01/2019 16:00,0.151,0.145,0.616
02/01/2019 17:00,0.081,0.076,0.61
02/01/2019 18:00,0.054,0.049,0.707
02/01/2019 19:00,0.04,0.035,0.807
02/01/2019 20:00,0.037,0.032,0.882
02/01/2019 21:00,0.046,0.041,0.915
02/01/2019 22:00,0.069,0.064,0.921
02/01/2019 23:00,0.119,0.116,0.881
03/01/2019 00:00,0.2,0.192,0.863
03/01/2019 01:00,0.247,0.231,0.861
03/01/2019 02:00,0.281,0.261,0.854
03/01/2019 03:00,0.287,0.267,0.834
03/01/2019 04:00,0.23,0.218,0.804
03/01/2019 05:00,0.18,0.171,0.776
03/01/2019 06:00,0.166,0.158,0.724
03/01/2019 07:00,0.169,0.16,0.663
03/01/2019 08:00,0.146,0.138,0.471
03/01/2019 09:00,0.16,0.151,0.254
03/01/2019 10:00,0.25,0.233,0.524
03/01/2019 11:00,0.24,0.227,0.685
03/01/2019 12:00,0.194,0.185,0.581
03/01/2019 13:00,0.162,0.155,0.411
03/01/2019 14:00,0.11,0.104,0.327
03/01/2019 15:00,0.073,0.067,0.321
03/01/2019 16:00,0.054,0.048,0.4
03/01/2019 17:00,0.036,0.031,0.557
03/01/2019 18:00,0.045,0.04,0.765
03/01/2019 19:00,0.076,0.074,0.817
03/01/2019 20:00,0.11,0.11,0.804
03/01/2019 21:00,0.142,0.141,0.807
03/01/2019 22:00,0.177,0.171,0.806
03/01/2019 23:00,0.217,0.205,0.806
04/01/2019 00:00,0.256,0.237,0.811
04/01/2019 01:00,0.263,0.244,0.802
04/01/2019 02:00,0.185,0.174,0.719
04/01/2019 03:00,0.123,0.116,0.668
04/01/2019 04:00,0.121,0.114,0.697
04/01/2019 05:00,0.091,0.085,0.637
04/01/2019 06:00,0.086,0.078,0.607
04/01/2019 07:00,0.105,0.098,0.601
04/01/2019 08:00,0.1,0.093,0.479
04/01/2019 09:00,0.065,0.058,0.341
04/01/2019 10:00,0.086,0.079,0.474
04/01/2019 11:00,0.116,0.109,0.544
04/01/2019 12:00,0.096,0.089,0.542
04/01/2019 13:00,0.09,0.085,0.505
04/01/2019 14:00,0.079,0.074,0.469
04/01/2019 15:00,0.033,0.028,0.453
04/01/2019 16:00,0.008,0.006,0.469
04/01/2019 17:00,0.006,0.004,0.403
04/01/2019 18:00,0.012,0.009,0.466
04/01/2019 19:00,0.032,0.026,0.653
04/01/2019 20:00,0.066,0.06,0.69
04/01/2019 21:00,0.116,0.111,0.643
04/01/2019 22:00,0.174,0.166,0.712
04/01/2019 23:00,0.194,0.184,0.739
05/01/2019 00:00,0.188,0.177,0.666
05/01/2019 01:00,0.165,0.155,0.633
05/01/2019 02:00,0.147,0.139,0.613
05/01/2019 03:00,0.134,0.126,0.61
05/01/2019 04:00,0.154,0.146,0.641
05/01/2019 05:00,0.135,0.127,0.668
05/01/2019 06:00,0.121,0.114,0.662
05/01/2019 07:00,0.119,0.113,0.659
05/01/2019 08:00,0.119,0.112,0.557
05/01/2019 09:00,0.09,0.085,0.412
05/01/2019 10:00,0.115,0.109,0.649
05/01/2019 11:00,0.136,0.128,0.788
05/01/2019 12:00,0.128,0.122,0.749
05/01/2019 13:00,0.105,0.1,0.625
05/01/2019 14:00,0.079,0.073,0.502
05/01/2019 15:00,0.054,0.048,0.374
05/01/2019 16:00,0.03,0.025,0.322
05/01/2019 17:00,0.007,0.004,0.382
05/01/2019 18:00,0.003,0.001,0.459
05/01/2019 19:00,0.002,0.001,0.588
05/01/2019 20:00,0.001,0,0.724
05/01/2019 21:00,0.002,0.001,0.777
05/01/2019 22:00,0.002,0.001,0.795
05/01/2019 23:00,0.003,0.001,0.785
06/01/2019 00:00,0.004,0.002,0.724
06/01/2019 01:00,0.012,0.009,0.676
06/01/2019 02:00,0.034,0.028,0.655
06/01/2019 03:00,0.069,0.062,0.663
06/01/2019 04:00,0.113,0.105,0.699
06/01/2019 05:00,0.138,0.129,0.736
06/01/2019 06:00,0.137,0.128,0.755
06/01/2019 07:00,0.119,0.111,0.765
06/01/2019 08:00,0.089,0.081,0.619
06/01/2019 09:00,0.066,0.06,0.439
06/01/2019 10:00,0.119,0.113,0.661
06/01/2019 11:00,0.109,0.104,0.674
06/01/2019 12:00,0.073,0.069,0.576
06/01/2019 13:00,0.045,0.04,0.338
06/01/2019 14:00,0.032,0.027,0.192
06/01/2019 15:00,0.013,0.009,0.11
06/01/2019 16:00,0.004,0.002,0.084
06/01/2019 17:00,0.002,0.001,0.131
06/01/2019 18:00,0.003,0.002,0.321
06/01/2019 19:00,0.003,0.001,0.583
06/01/2019 20:00,0,0,0.748
06/01/2019 21:00,0,0,0.789
06/01/2019 22:00,0,0,0.8
06/01/2019 23:00,0,0,0.803
07/01/2019 00:00,0,0,0.772
07/01/2019 01:00,0.001,0,0.703
07/01/2019 02:00,0.004,0.002,0.622
07/01/2019 03:00,0.014,0.009,0.526
07/01/2019 04:00,0.033,0.026,0.436
07/01/2019 05:00,0.044,0.036,0.438
07/01/2019 06:00,0.048,0.041,0.412
07/01/2019 07:00,0.071,0.063,0.379
07/01/2019 08:00,0.093,0.086,0.373
07/01/2019 09:00,0.086,0.081,0.297
07/01/2019 10:00,0.047,0.042,0.21
07/01/2019 11:00,0.048,0.042,0.432
07/01/2019 12:00,0.045,0.039,0.492
07/01/2019 13:00,0.049,0.043,0.381
