date,SA_CSTR2,SA_CSTR1,SA_WSTR
01/01/2019 00:00,0.681,0.77,0.0
01/01/2019 01:00,0.74,0.0,0.0
01/01/2019 02:00,0.698,0.164,0.0
01/01/2019 03:00,0.622,0.168,0.0
01/01/2019 04:00,0.746,0.174,0.049
01/01/2019 05:00,0.751,0.173,0.18
01/01/2019 06:00,0.636,0.156,0.353
01/01/2019 07:00,0.508,0.132,0.503
01/01/2019 08:00,0.393,0.117,0.62
01/01/2019 09:00,0.297,0.087,0.672
01/01/2019 10:00,0.225,0.089,0.688
01/01/2019 11:00,0.178,0.103,0.666
01/01/2019 12:00,0.154,0.136,0.604
01/01/2019 13:00,0.145,0.209,0.51
01/01/2019 14:00,0.123,0.303,0.365
01/01/2019 15:00,0.084,0.39,0.179
01/01/2019 16:00,0.101,0.431,0.049
01/01/2019 17:00,0.135,0.438,0.0
01/01/2019 18:00,0.109,0.431,0.0
01/01/2019 19:00,0.077,0.407,0.0
01/01/2019 20:00,0.058,0.379,0.0
01/01/2019 21:00,0.038,0.377,0.0
01/01/2019 22:00,0.018,0.369,0.0
01/01/2019 23:00,0.011,0.328,0.0
02/01/2019 00:00,0.019,0.256,0.0
02/01/2019 01:00,0.038,0.208,0.0
02/01/2019 02:00,0.052,0.167,0.0
02/01/2019 03:00,0.07,0.119,0.001
02/01/2019 04:00,0.115,0.089,0.033
02/01/2019 05:00,0.149,0.084,0.187
02/01/2019 06:00,0.115,0.062,0.392
02/01/2019 07:00,0.065,0.028,0.556
02/01/2019 08:00,0.055,0.005,0.667
02/01/2019 09:00,0.09,0.001,0.732
02/01/2019 10:00,0.184,0.008,0.75
02/01/2019 11:00,0.303,0.064,0.725
02/01/2019 12:00,0.44,0.186,0.656
02/01/2019 13:00,0.568,0.264,0.543
02/01/2019 14:00,0.662,0.305,0.388
02/01/2019 15:00,0.693,0.323,0.195
02/01/2019 16:00,0.659,0.315,0.026
02/01/2019 17:00,0.615,0.312,0.001
02/01/2019 18:00,0.601,0.309,0.0
02/01/2019 19:00,0.597,0.279,0.0
02/01/2019 20:00,0.54,0.22,0.0
02/01/2019 21:00,0.49,0.149,0.0
02/01/2019 22:00,0.412,0.092,0.0
02/01/2019 23:00,0.332,0.055,0.0
03/01/2019 00:00,0.262,0.037,0.0
03/01/2019 01:00,0.201,0.024,0.0
03/01/2019 02:00,0.16,0.015,0.0
03/01/2019 03:00,0.148,0.013,0.0
03/01/2019 04:00,0.145,0.014,0.029
03/01/2019 05:00,0.136,0.011,0.189
03/01/2019 06:00,0.152,0.002,0.393
03/01/2019 07:00,0.184,0.0,0.553
03/01/2019 08:00,0.222,0.0,0.663
03/01/2019 09:00,0.241,0.0,0.726
03/01/2019 10:00,0.237,0.006,0.745
03/01/2019 11:00,0.192,0.008,0.72
03/01/2019 12:00,0.121,0.003,0.653
03/01/2019 13:00,0.077,0.005,0.541
03/01/2019 14:00,0.057,0.051,0.385
03/01/2019 15:00,0.068,0.181,0.194
03/01/2019 16:00,0.131,0.282,0.027
03/01/2019 17:00,0.155,0.294,0.0
03/01/2019 18:00,0.112,0.24,0.0
03/01/2019 19:00,0.062,0.162,0.0
03/01/2019 20:00,0.025,0.101,0.0
03/01/2019 21:00,0.007,0.067,0.0
03/01/2019 22:00,0.001,0.047,0.0
03/01/2019 23:00,0.001,0.027,0.0
04/01/2019 00:00,0.006,0.009,0.0
04/01/2019 01:00,0.03,0.002,0.0
04/01/2019 02:00,0.088,0.001,0.0
04/01/2019 03:00,0.198,0.002,0.0
04/01/2019 04:00,0.313,0.004,0.027
04/01/2019 05:00,0.601,0.002,0.185
04/01/2019 06:00,0.613,0.0,0.383
04/01/2019 07:00,0.604,0.0,0.541
04/01/2019 08:00,0.608,0.0,0.651
04/01/2019 09:00,0.613,0.0,0.711
04/01/2019 10:00,0.62,0.0,0.73
04/01/2019 11:00,0.613,0.0,0.706
04/01/2019 12:00,0.584,0.02,0.641
04/01/2019 13:00,0.532,0.059,0.533
04/01/2019 14:00,0.461,0.092,0.381
04/01/2019 15:00,0.336,0.149,0.194
04/01/2019 16:00,0.202,0.246,0.026
04/01/2019 17:00,0.201,0.201,0.0
04/01/2019 18:00,0.192,0.154,0.0
04/01/2019 19:00,0.107,0.133,0.0
04/01/2019 20:00,0.065,0.136,0.0
04/01/2019 21:00,0.079,0.165,0.0
04/01/2019 22:00,0.144,0.216,0.0
04/01/2019 23:00,0.193,0.261,0.0
05/01/2019 00:00,0.179,0.289,0.0
05/01/2019 01:00,0.112,0.264,0.0
05/01/2019 02:00,0.072,0.255,0.0
05/01/2019 03:00,0.046,0.267,0.0
05/01/2019 04:00,0.037,0.247,0.027
05/01/2019 05:00,0.035,0.23,0.188
05/01/2019 06:00,0.043,0.252,0.395
05/01/2019 07:00,0.086,0.305,0.559
05/01/2019 08:00,0.179,0.344,0.672
05/01/2019 09:00,0.316,0.338,0.736
05/01/2019 10:00,0.388,0.349,0.755
