scenario,LCOE [$/MWh],CO2 [kg/kWh],Investment cost [B$],Energy stored [GWh],OCGT Investment [M$],PV Investment [M$],Wind Investment [M$],Storage Investment [M$],Transmission Investment [M$],Unmet Demand [GWh],PV Capacity [MW],Wind Capacity [MW],NG Capacity [MW],Existing Capacity [MW],New Transmission cap [MW],VRES [%],Wind [%],Solar [%],Year,Technology,Scenario transmission,Storage
ResultsWAPP_2030_onlyRES_autarky_BESS,42.51370939,0.363377937,2.701097827,33693.73821,0,567.72257,781.8736178,565.9343422,0,0,3765.382134,3088.399825,0,29531.31,0,0.151218591,0.095129946,0.056088645,2030,onlyRES,autarky,BESS
ResultsWAPP_2030_onlyRES_autarky_NoStorage,41.28943934,0.363978925,2.171519401,0,0,554.5473648,831.4047393,0,0,1082.373844,3674.974581,3197.485347,0,29531.31,0,0.154854072,0.099619096,0.055234976,2030,onlyRES,autarky,NoStorage
ResultsWAPP_2030_onlyRES_autarky_PHES,41.76126373,0.36535859,2.722280427,60150.00979,0,546.5073003,770.7728927,619.432937,0,33.19506529,3623.94356,3039.852414,0,29531.31,0,0.148165058,0.093828733,0.054336325,2030,onlyRES,autarky,PHES
ResultsWAPP_2030_onlyRES_transmission_BESS,39.03139409,0.386564823,1.495894476,0,0,0,710.3271785,0,0,0,0,2814.649178,0,29531.31,0,0.100957725,0.092181649,0.008776076,2030,onlyRES,transmission,BESS
ResultsWAPP_2030_onlyRES_transmission_exp_BESS,39.04738237,0.386867256,1.491865007,0,0,0,704.6491674,0,0.824271178,0,0,2793.115198,0,29531.31,58.9694249,0.100331959,0.091553618,0.008778341,2030,onlyRES,expansion,BESS
ResultsWAPP_2030_onlyRES_transmission_exp_NoStorage,39.04738237,0.386867256,1.491865007,0,0,0,704.6491674,0,0.824271178,0,0,2793.115198,0,29531.31,58.9694249,0.100331959,0.091553618,0.008778341,2030,onlyRES,expansion,NoStorage
ResultsWAPP_2030_onlyRES_transmission_exp_PHES,39.04738237,0.386867256,1.491865007,0,0,0,704.6491674,0,0.824271178,0,0,2793.115198,0,29531.31,58.9694249,0.100331959,0.091553618,0.008778341,2030,onlyRES,expansion,PHES
ResultsWAPP_2030_onlyRES_transmission_NoStorage,39.03139409,0.386564823,1.495894476,0,0,0,710.3271785,0,0,0,0,2814.649178,0,29531.31,0,0.100957725,0.092181649,0.008776076,2030,onlyRES,transmission,NoStorage
ResultsWAPP_2030_onlyRES_transmission_PHES,39.03139409,0.386564823,1.495894476,0,0,0,710.3271785,0,0,0,0,2814.649178,0,29531.31,0,0.100957725,0.092181649,0.008776076,2030,onlyRES,transmission,PHES
ResultsWAPP_2030_RES+GT_autarky_BESS,41.57929487,0.411901324,1.589098067,0,342.4563542,0,461.0744159,0,0,0,0,1854.384233,2344.31898,29531.31,0,0.069913559,0.061008303,0.008905256,2030,RES+GT,autarky,BESS
ResultsWAPP_2030_RES+GT_autarky_NoStorage,41.57929487,0.411901324,1.589098067,0,342.4563542,0,461.0744159,0,0,0,0,1854.384233,2344.31898,29531.31,0,0.069913559,0.061008303,0.008905256,2030,RES+GT,autarky,NoStorage
ResultsWAPP_2030_RES+GT_autarky_PHES,41.57929487,0.411901324,1.589098067,0,342.4563542,0,461.0744159,0,0,0,0,1854.384233,2344.31898,29531.31,0,0.069913559,0.061008303,0.008905256,2030,RES+GT,autarky,PHES
ResultsWAPP_2030_RES+GT_transmission_BESS,39.25048234,0.390812498,1.454932676,0,27.53306345,0,641.8323158,0,0,0,0,2550.082116,188.48032,29531.31,0,0.093413982,0.084622967,0.008791014,2030,RES+GT,transmission,BESS
ResultsWAPP_2030_RES+GT_transmission_exp_BESS,39.25048234,0.390812498,1.454932676,0,27.53306345,0,641.8323158,0,0,0,0,2550.082116,188.48032,29531.31,0,0.093413982,0.084622967,0.008791014,2030,RES+GT,expansion,BESS
ResultsWAPP_2030_RES+GT_transmission_exp_NoStorage,39.25048234,0.390812498,1.454932676,0,27.53306345,0,641.8323158,0,0,0,0,2550.082116,188.48032,29531.31,0,0.093413982,0.084622967,0.008791014,2030,RES+GT,expansion,NoStorage
ResultsWAPP_2030_RES+GT_transmission_exp_PHES,39.25048234,0.390812498,1.454932676,0,27.53306345,0,641.8323158,0,0,0,0,2550.082116,188.48032,29531.31,0,0.093413982,0.084622967,0.008791014,2030,RES+GT,expansion,PHES
ResultsWAPP_2030_RES+GT_transmission_NoStorage,39.25048234,0.390812498,1.454932676,0,27.53306345,0,641.8323158,0,0,0,0,2550.082116,188.48032,29531.31,0,0.093413982,0.084622967,0.008791014,2030,RES+GT,transmission,NoStorage
ResultsWAPP_2030_RES+GT_transmission_PHES,39.25048234,0.390812498,1.454932676,0,27.53306345,0,641.8323158,0,0,0,0,2550.082116,188.48032,29531.31,0,0.093413982,0.084622967,0.008791014,2030,RES+GT,transmission,PHES
