,Country,Net Trade Balance,Status,Demand,Percentage,color
0,NER,-8255,Net Exporter,5045.537777,-1.6360991364746649,#3CB371
1,BEN,2466,Net Importer,5332.745312,0.4624259843144746,#F5A3A3
2,TGO,806,Net Importer,5134.804984,0.15696798661516606,#F5A3A3
3,BFA,272,Net Importer,5231.784101,0.051989912953023056,#F5A3A3
4,CIV,2684,Net Importer,32333.24941,0.08301052473773003,#F5A3A3
5,GHA,-1796,Net Exporter,54308.02852,-0.0330706167935849,#A8E6A3
6,GIN,451,Net Importer,4760.930635,0.09472937847161053,#F5A3A3
7,LBR,-223,Net Exporter,420.3786829,-0.5304740917441987,#66CDAA
8,MLI,-1415,Net Exporter,12772.97294,-0.11078078742097452,#A8E6A3
9,GNB,305,Net Importer,570.0681452,0.5350237556125772,#FF6F61
10,SEN,-992,Net Exporter,15811.93916,-0.0627374030447509,#A8E6A3
11,SLE,26,Net Importer,988.2306726,0.026309646847526923,#F5A3A3
12,GMB,408,Net Importer,1189.834837,0.3429047354410249,#F5A3A3
13,NGA,5264,Net Importer,103415.0,0.0509017067156602,#F5A3A3
