techs,Longitude,Latitude,base_tech,Saturation,Color,Bubble_Size
Wind_BEN_MSR1,1.484842679,10.22909111,Wind_BEN_MSR1,0.17914964037305722,#FFFF00,4
Wind_BFA_MSR1,-1.799449301,13.83394154,Wind_BFA_MSR1,0.0484891090541659,#00FF00,6
Wind_BFA_MSR2,-0.014909296,12.98178348,Wind_BFA_MSR2,0.0010709870033239228,#00FF00,6
Wind_CIV_MSR1,-5.496299665,6.051667794,Wind_CIV_MSR1,1.0000000000000002,#FF0000,2
Wind_GMB_MSR1,-15.55704928,13.65448189,Wind_GMB_MSR1,0.0,#808080,2
Wind_GHA_MSR1,-0.84855837,7.191508412,Wind_GHA_MSR1,0.9571043423624518,#FF4500,4
Wind_GHA_MSR2,0.064394052,5.85959781,Wind_GHA_MSR2,0.4725214609858502,#FFD700,2
Wind_GIN_MSR1,-12.64172723,12.32065935,Wind_GIN_MSR1,0.0,#808080,2
Wind_MLI_MSR1,-3.154282624,18.73149387,Wind_MLI_MSR1,0.0,#808080,10
Wind_MLI_MSR2,-1.155217006,16.6560357,Wind_MLI_MSR2,0.0,#808080,6
Wind_MLI_MSR3,-2.618809979,17.48588368,Wind_MLI_MSR3,0.0,#808080,10
Wind_MLI_MSR4,-4.891373193,17.2759493,Wind_MLI_MSR4,0.012318995906497767,#00FF00,8
Wind_MLI_MSR5,-9.466834711,15.62130687,Wind_MLI_MSR5,0.08825888127919577,#ADFF2F,6
Wind_NER_MSR1,11.77840499,22.59697915,Wind_NER_MSR1,0.01405995951479581,#00FF00,6
Wind_NER_MSR2,11.53611045,15.18426183,Wind_NER_MSR2,0.00041525418869763883,#00FF00,10
Wind_NER_MSR3,7.886099551,20.43257842,Wind_NER_MSR3,0.0015709725393265195,#00FF00,6
Wind_NER_MSR4,12.38256407,21.53444204,Wind_NER_MSR4,0.0,#808080,6
Wind_NER_MSR5,8.306442834,16.28579535,Wind_NER_MSR5,0.0,#808080,8
Wind_NER_MSR6,8.162830996,17.25235951,Wind_NER_MSR6,0.14028970890724163,#ADFF2F,6
Wind_NER_MSR7,5.691793546,14.99512734,Wind_NER_MSR7,0.0,#808080,4
Wind_NGA_CNW_MSR1,5.744465818,12.97815017,Wind_NGA_CNW_MSR1,0.0,#808080,6
Wind_NGA_CNW_MSR2,7.677667363,12.74792104,Wind_NGA_CNW_MSR2,0.15865767420792004,#FFFF00,6
Wind_NGA_CNW_MSR3,6.967054724,11.67404145,Wind_NGA_CNW_MSR3,0.132279681337747,#ADFF2F,6
Wind_NGA_E_MSR1,9.961712082,9.117349083,Wind_NGA_E_MSR1,0.07853612583987127,#ADFF2F,4
Wind_NGA_E_MSR2,10.85272402,9.989077071,Wind_NGA_E_MSR2,0.0,#808080,6
Wind_NGA_E_MSR3,12.43997078,13.11660348,Wind_NGA_E_MSR3,0.0,#808080,8
Wind_NGA_E_MSR4,11.73659977,9.408622464,Wind_NGA_E_MSR4,0.12831394486604894,#ADFF2F,4
Wind_NGA_E_MSR5,12.21303737,10.514687,Wind_NGA_E_MSR5,0.06699853430072587,#ADFF2F,6
Wind_SEN_MSR1,-14.34906485,15.98385136,Wind_SEN_MSR1,0.0,#808080,6
Wind_SEN_MSR2,-16.61953149,15.50362547,Wind_SEN_MSR2,0.24245525470334134,#FFFF00,4
Wind_TGO_MSR1,0.372492411,10.09175452,Wind_TGO_MSR1,0.39499299682060646,#FFD700,2
