techs,Longitude,Latitude,base_tech,Saturation,Color,Bubble_Size
PV_BEN_MSR1,1.611120182,10.08173081,PV_BEN_MSR1,0.0,#808080,6
PV_BFA_MSR1,-2.036864321,12.07241452,PV_BFA_MSR1,0.0,#808080,8
PV_CIV_MSR1,-7.513669959,9.843342428,PV_CIV_MSR1,0.0,#808080,4
PV_CIV_MSR2,-5.660588333,9.887910116,PV_CIV_MSR2,0.0,#808080,6
PV_CIV_MSR3,-7.324782598,8.766531914,PV_CIV_MSR3,0.0,#808080,4
PV_CIV_MSR4,-6.486432126,10.14060226,PV_CIV_MSR4,0.0,#808080,6
PV_GMB_MSR1,-16.58891078,13.36082608,PV_GMB_MSR1,0.0,#808080,4
PV_GHA_MSR1,-2.390395448,10.09246933,PV_GHA_MSR1,0.0,#808080,6
PV_GHA_MSR2,-0.750863003,10.64671199,PV_GHA_MSR2,0.0,#808080,6
PV_GIN_MSR1,-12.59380338,10.45212902,PV_GIN_MSR1,0.0,#808080,6
PV_GIN_MSR2,-11.36751782,11.0765476,PV_GIN_MSR2,0.0,#808080,6
PV_GNB_MSR1,-15.96228329,12.28944372,PV_GNB_MSR1,0.0,#808080,4
PV_LBR_MSR1,-8.55244364,6.922177809,PV_LBR_MSR1,0.0,#808080,6
PV_MLI_MSR1,-9.163756856,12.99208679,PV_MLI_MSR1,0.0,#808080,6
PV_MLI_MSR2,-6.210630189,13.25006458,PV_MLI_MSR2,0.0,#808080,8
PV_MLI_MSR3,-7.762626868,12.1902094,PV_MLI_MSR3,0.0,#808080,10
PV_MLI_MSR4,-5.650351376,12.02040523,PV_MLI_MSR4,0.0,#808080,8
PV_MLI_MSR5,-9.758742344,15.05505439,PV_MLI_MSR5,0.0,#808080,6
PV_NER_MSR1,9.053705118,14.07249597,PV_NER_MSR1,0.0,#808080,10
PV_NER_MSR2,7.682219832,13.66414404,PV_NER_MSR2,0.0,#808080,10
PV_NER_MSR3,2.528687804,13.37677362,PV_NER_MSR3,0.0,#808080,4
PV_NER_MSR4,7.600207751,17.80817636,PV_NER_MSR4,0.0,#808080,10
PV_NGA_CNW_MSR1,8.377930576,12.30158226,PV_NGA_CNW_MSR1,0.0,#808080,4
PV_NGA_CNW_MSR2,7.466798824,11.51214674,PV_NGA_CNW_MSR2,0.0,#808080,6
PV_NGA_CNW_MSR3,7.996573297,12.93732845,PV_NGA_CNW_MSR3,0.0,#808080,6
PV_NGA_CNW_MSR4,9.410251806,12.06955973,PV_NGA_CNW_MSR4,0.0,#808080,6
PV_NGA_CNW_MSR5,6.456646026,12.21791005,PV_NGA_CNW_MSR5,0.0,#808080,6
PV_NGA_CNW_MSR6,8.483943615,11.49606358,PV_NGA_CNW_MSR6,0.0,#808080,4
PV_NGA_CNW_MSR7,7.715227955,12.46144808,PV_NGA_CNW_MSR7,0.0,#808080,4
PV_NGA_E_MSR1,12.21343855,11.50597304,PV_NGA_E_MSR1,0.0,#808080,8
PV_NGA_E_MSR2,8.995706362,9.964935302,PV_NGA_E_MSR2,0.0,#808080,6
PV_NGA_E_MSR3,10.28402666,11.93945472,PV_NGA_E_MSR3,0.0,#808080,6
PV_SEN_MSR1,-16.30404395,15.41592368,PV_SEN_MSR1,0.0,#808080,8
PV_SLE_MSR1,-11.61733171,9.025013969,PV_SLE_MSR1,0.0,#808080,6
PV_TGO_MSR1,0.400799364,10.65300854,PV_TGO_MSR1,0.0,#808080,4
