techs,Longitude,Latitude,cluster_color,Capacity [MW]
PV_BEN_MSR1,1.611120182,10.08173081,#FF5722,17646.25579
PV_BFA_MSR1,-2.036864321,12.07241452,#9C27B0,44377.01718
PV_CIV_MSR1,-7.513669959,9.843342428,#F7B267,1935.213108
PV_CIV_MSR2,-5.660588333,9.887910116,#F44336,29695.93557
PV_CIV_MSR3,-7.324782598,8.766531914,#A5D8DD,2624.655386
PV_CIV_MSR4,-6.486432126,10.14060226,#4CAF50,19083.27293
PV_GMB_MSR1,-16.58891078,13.36082608,#E91E63,1701.800944
PV_GHA_MSR1,-2.390395448,10.09246933,#FFC4A3,16325.39114
PV_GHA_MSR2,-0.750863003,10.64671199,#CDDC39,22516.92042
PV_GIN_MSR1,-12.59380338,10.45212902,#FFEB3B,11155.19951
PV_GIN_MSR2,-11.36751782,11.0765476,#03A9F4,28616.95322
PV_GNB_MSR1,-15.96228329,12.28944372,#8BC34A,4700.828791
PV_LBR_MSR1,-8.55244364,6.922177809,#FF7043,15834.84604
PV_MLI_MSR1,-9.163756856,12.99208679,#FFC107,26931.96327
PV_MLI_MSR2,-6.210630189,13.25006458,#3F51B5,48799.67009
PV_MLI_MSR3,-7.762626868,12.1902094,#C2185B,60976.09691
PV_MLI_MSR4,-5.650351376,12.02040523,#795548,49891.10713
PV_MLI_MSR5,-9.758742344,15.05505439,#9FA8DA,20918.45842
PV_NER_MSR1,9.053705118,14.07249597,#AED581,71838.68264
PV_NER_MSR2,7.682219832,13.66414404,#607D8B,58936.26988
PV_NER_MSR3,2.528687804,13.37677362,#FFD54F,8329.805876
PV_NER_MSR4,7.600207751,17.80817636,#64B5F6,54877.3717
PV_NGA_CNW_MSR1,8.377930576,12.30158226,#FF5252,4484.13306
PV_NGA_CNW_MSR2,7.466798824,11.51214674,#FFCC80,11073.00118
PV_NGA_CNW_MSR3,7.996573297,12.93732845,#D32F2F,11236.39171
PV_NGA_CNW_MSR4,9.410251806,12.06955973,#81C784,25256.68409
PV_NGA_CNW_MSR5,6.456646026,12.21791005,#FF8A65,13416.4237
PV_NGA_CNW_MSR6,8.483943615,11.49606358,#00ACC1,6160.371676
PV_NGA_CNW_MSR7,7.715227955,12.46144808,#689F38,5559.982475
PV_NGA_E_MSR1,12.21343855,11.50597304,#FFC400,35164.12432
PV_NGA_E_MSR2,8.995706362,9.964935302,#EDE4E0,17100.44025
PV_NGA_E_MSR3,10.28402666,11.93945472,#4DB6AC,20305.09001
PV_SEN_MSR1,-16.30404395,15.41592368,#BA68C8,32171.10256
PV_SLE_MSR1,-11.61733171,9.025013969,#C6FF00,11465.68796
PV_TGO_MSR1,0.400799364,10.65300854,#D9BF77,9028.751969
